x_local,y_local,utm_e,utm_n,lon,lat,rl
116.833,100.839,706223.760,953818.740,76.8740132,8.6242695,70.551
117.473,129.779,706224.400,953847.680,76.8740203,8.6245311,69.366
117.693,114.259,706224.620,953832.160,76.8740216,8.6243908,69.077
117.953,118.279,706224.880,953836.180,76.8740242,8.6244271,69.423
121.243,113.239,706228.170,953831.140,76.8740538,8.6243814,69.005
121.423,108.639,706228.350,953826.540,76.8740553,8.6243398,69.098
121.473,104.099,706228.400,953822.000,76.8740555,8.6242988,69.496
122.863,98.639,706229.790,953816.540,76.8740679,8.6242493,69.761
122.953,118.319,706229.880,953836.220,76.8740696,8.6244272,69.183
123.643,129.039,706230.570,953846.940,76.8740763,8.6245241,69.128
124.033,99.059,706230.960,953816.960,76.8740786,8.6242531,69.767
124.713,112.269,706231.640,953830.170,76.8740853,8.6243725,68.969
124.993,123.469,706231.920,953841.370,76.8740884,8.6244737,68.790
128.283,124.099,706235.210,953842.000,76.8741183,8.6244793,68.627
129.543,118.369,706236.470,953836.270,76.8741295,8.6244274,68.867
129.673,111.699,706236.600,953829.600,76.8741303,8.6243671,68.933
130.413,134.619,706237.340,953852.520,76.8741381,8.6245743,68.988
130.943,123.769,706237.870,953841.670,76.8741424,8.6244762,68.818
131.173,129.449,706238.100,953847.350,76.8741448,8.6245275,69.220
132.093,137.949,706239.020,953855.850,76.8741535,8.6246043,69.544
132.813,100.039,706239.740,953817.940,76.8741584,8.6242615,69.572
134.643,111.129,706241.570,953829.030,76.8741755,8.6243617,68.897
135.333,103.769,706242.260,953821.670,76.8741814,8.6242952,68.820
136.283,109.589,706243.210,953827.490,76.8741903,8.6243477,68.640
136.283,121.679,706243.210,953839.580,76.8741908,8.6244570,69.107
136.313,158.079,706243.240,953875.980,76.8741927,8.6247861,70.157
136.583,149.139,706243.510,953867.040,76.8741948,8.6247053,69.891
136.963,163.039,706243.890,953880.940,76.8741989,8.6248309,70.298
137.353,145.089,706244.280,953862.990,76.8742016,8.6246686,69.398
137.503,131.139,706244.430,953849.040,76.8742023,8.6245425,69.383
137.613,167.999,706244.540,953885.900,76.8742050,8.6248757,70.439
137.663,141.379,706244.590,953859.280,76.8742043,8.6246351,69.195
137.723,138.019,706244.650,953855.920,76.8742046,8.6246047,69.472
137.783,128.489,706244.710,953846.390,76.8742048,8.6245185,69.187
137.853,134.519,706244.780,953852.420,76.8742057,8.6245730,69.498
138.853,205.289,706245.780,953923.190,76.8742179,8.6252128,71.597
138.913,177.919,706245.840,953895.820,76.8742172,8.6249653,70.721
139.453,117.019,706246.380,953834.920,76.8742194,8.6244148,68.936
139.563,99.449,706246.490,953817.350,76.8742196,8.6242559,69.491
140.003,104.119,706246.930,953822.020,76.8742238,8.6242981,69.038
140.213,187.829,706247.140,953905.730,76.8742295,8.6250549,71.003
140.643,108.349,706247.570,953826.250,76.8742298,8.6243363,68.959
141.233,110.949,706248.160,953828.850,76.8742353,8.6243598,68.861
141.613,121.399,706248.540,953839.300,76.8742392,8.6244543,68.902
142.403,127.049,706249.330,953844.950,76.8742467,8.6245053,69.101
143.013,198.139,706249.940,953916.040,76.8742554,8.6251480,71.285
143.213,212.479,706250.140,953930.380,76.8742578,8.6252776,71.754
143.253,305.729,706250.180,954023.630,76.8742624,8.6261206,83.725
143.313,204.019,706250.240,953921.920,76.8742584,8.6252011,71.173
143.403,110.209,706250.330,953828.110,76.8742550,8.6243530,69.334
143.473,131.129,706250.400,953849.030,76.8742566,8.6245421,69.204
144.013,135.239,706250.940,953853.140,76.8742617,8.6245793,69.350
144.493,139.059,706251.420,953856.960,76.8742662,8.6246138,69.202
145.923,106.229,706252.850,953824.130,76.8742777,8.6243169,70.052
146.703,211.159,706253.630,953929.060,76.8742895,8.6252655,71.413
146.953,111.939,706253.880,953829.840,76.8742873,8.6243685,69.370
147.103,144.329,706254.030,953862.230,76.8742901,8.6246613,69.451
147.133,148.029,706254.060,953865.930,76.8742906,8.6246948,69.870
147.153,156.869,706254.080,953874.770,76.8742911,8.6247747,70.025
147.233,98.909,706254.160,953816.810,76.8742893,8.6242507,69.156
147.753,121.479,706254.680,953839.380,76.8742950,8.6244547,68.939
147.863,197.239,706254.790,953915.140,76.8742994,8.6251396,70.831
147.983,161.799,706254.910,953879.700,76.8742989,8.6248192,70.107
148.813,166.729,706255.740,953884.630,76.8743067,8.6248637,70.189
149.353,115.669,706256.280,953833.570,76.8743093,8.6244021,69.004
149.353,202.829,706256.280,953920.730,76.8743132,8.6251901,71.057
149.533,302.729,706256.460,954020.630,76.8743193,8.6260932,82.788
149.583,102.259,706256.510,953820.160,76.8743108,8.6242809,69.383
149.653,171.659,706256.580,953889.560,76.8743145,8.6249083,70.272
150.313,219.419,706257.240,953937.320,76.8743226,8.6253400,71.562
150.493,176.589,706257.420,953894.490,76.8743224,8.6249528,70.354
151.283,162.379,706258.210,953880.280,76.8743289,8.6248243,70.142
151.323,181.519,706258.250,953899.420,76.8743301,8.6249973,70.437
151.943,209.429,706258.870,953927.330,76.8743370,8.6252496,70.966
152.153,186.449,706259.080,953904.350,76.8743379,8.6250419,70.519
152.913,119.769,706259.840,953837.670,76.8743418,8.6244390,68.852
153.603,110.859,706260.530,953828.760,76.8743477,8.6243584,69.387
153.743,158.019,706260.670,953875.920,76.8743511,8.6247848,70.094
154.023,308.239,706260.950,954026.140,76.8743603,8.6261428,82.502
154.393,191.779,706261.320,953909.680,76.8743585,8.6250900,70.602
154.703,123.709,706261.630,953841.610,76.8743583,8.6244746,69.045
154.863,128.849,706261.790,953846.750,76.8743599,8.6245210,69.180
155.323,228.069,706262.250,953945.970,76.8743685,8.6254180,71.712
155.333,315.139,706262.260,954033.040,76.8743725,8.6262051,85.774
155.543,200.809,706262.470,953918.710,76.8743693,8.6251715,70.696
155.693,299.919,706262.620,954017.820,76.8743751,8.6260675,81.730
156.213,153.669,706263.140,953871.570,76.8743733,8.6247453,70.047
156.413,101.869,706263.340,953819.770,76.8743728,8.6242770,69.134
156.443,318.499,706263.370,954036.400,76.8743827,8.6262355,85.937
156.633,305.179,706263.560,954023.080,76.8743839,8.6261150,81.969
156.733,118.659,706263.660,953836.560,76.8743765,8.6244288,68.900
